day_pt,new_members,pct_communicated,pct_opened_channels
2026-04-25T00:00:00.000Z,27,40.74074074074074,62.96296296296296
2026-05-02T00:00:00.000Z,31,32.25806451612903,25.806451612903224
2026-05-09T00:00:00.000Z,29,31.03448275862069,68.96551724137932
2026-05-16T00:00:00.000Z,34,29.411764705882355,67.64705882352942
2026-05-23T00:00:00.000Z,29,20.689655172413794,51.72413793103448
2026-05-30T00:00:00.000Z,41,29.268292682926827,43.90243902439025
2026-06-06T00:00:00.000Z,26,23.076923076923077,57.692307692307686
2026-06-13T00:00:00.000Z,34,32.35294117647059,67.64705882352942
2026-06-20T00:00:00.000Z,43,32.55813953488372,48.837209302325576
2026-06-27T00:00:00.000Z,13,15.384615384615383,23.076923076923077
2026-07-04T00:00:00.000Z,25,24,40
2026-07-11T00:00:00.000Z,30,6.666666666666667,40
2026-07-18T00:00:00.000Z,28,21.428571428571427,50
2026-07-25T00:00:00.000Z,32,28.125,56.25
2026-08-01T00:00:00.000Z,34,52.94117647058824,47.05882352941176
2026-08-08T00:00:00.000Z,42,35.714285714285715,69.04761904761905
2026-08-15T00:00:00.000Z,49,24.489795918367346,53.06122448979592
